Domain;W,U,R,G;0.137
Esper Midrange;W,U,B;0.125
Rakdos Midrange;B,R;0.118
Mono-Red Aggro;R;0.114
Dimir Midrange;U,B;0.065
Bant Poison;W,U,G;0.062
Golgari Midrange;B,G;0.054
Azorius Soldiers;W,U;0.042
Rakdos Reanimator;B,R;0.033
Gruul Aggro;R,G;0.018
Azorius Tempo;W,U;0.013
Esper Legends;W,U,B;0.012
4c Legends;U,B,R,G;0.012
Azorius Midrange;W,U;0.011
Boros Aggro;W,R;0.010
