Rakdos Midrange;B,R;0.207
Azorius Control;W,U;0.129
Izzet Phoenix;U,R;0.108
Abzan Amalia Combo;W,B,G;0.075
Hidden Strings;W,U,B,R,G;0.058
5c Enigmatic Fires;W,U,B,R,G;0.053
Mono-Red Aggro;R;0.035
Rakdos Sacrifice;B,R;0.032
Quintorius Combo;W,U,B,R,G;0.028
Niv to Light;W,U,B,R,G;0.024
Mono-Black Midrange;B;0.022
Gruul Aggro;R,G;0.020
5c Midrange;W,U,B,R,G;0.017
Boros Convoke;W,R;0.013
Mono-Black Discard;B;0.011
