Rakdos Midrange;B,R;0.189
Azorius Control;W,U;0.130
Izzet Phoenix;U,R;0.127
Hidden Strings;W,U,B,R,G;0.070
Abzan Amalia Combo;W,B,G;0.067
Quintorius Combo;W,U,B,R,G;0.044
Niv to Light;W,U,B,R,G;0.031
5c Enigmatic Fires;W,U,B,R,G;0.031
Rakdos Sacrifice;B,R;0.028
Mono-Red Aggro;R;0.028
Mono-Black Midrange;B;0.026
Izzet Ensoul Artifact;U,R;0.019
Mono-Black Discard;B;0.019
Gruul Aggro;R,G;0.018
5c Midrange;W,U,B,R,G;0.018
