Burn;R;0.119
Jeskai Affinity;W,U,R;0.102
Dimir Control;U,B;0.087
Golgari Gardens;B,G;0.083
Dimir Faeries;U,B;0.082
Grixis Affinity;U,B,R;0.064
Caw-Gates;W,U,R;0.064
Mono-Blue Delver;U;0.046
Azorius Affinity;W,U;0.037
Boros Synthesizer;W,R;0.034
Familiars;W,U;0.034
Jeskai Ephemerate;W,U,R;0.031
Walls Combo;W,U,B,R,G;0.026
Tron;U,B,R,G;0.023
Turbo Fog;U,G;0.023
